fact_id,scheme,fact_key,fact_label,value,source_document_id,source_url,fact_as_of,source_dated,retrieved_at,fact_type,verification_status
GT-101,SBI Large Cap Fund,scheme_type,Type of scheme,An open-ended Equity Scheme predominantly investing in large cap stocks,kim_large_cap,https://www.sbimf.com/docs/default-source/sif-forms/kim---sbi-large-cap-fund-%28formerly-known-as-bluechip-fund%29.pdf,,,2026-08-27,static,VERIFIED primary
GT-102,SBI Large Cap Fund,scheme_category,SEBI category,Large Cap Fund,kim_large_cap,https://www.sbimf.com/docs/default-source/sif-forms/kim---sbi-large-cap-fund-%28formerly-known-as-bluechip-fund%29.pdf,,,2026-08-27,static,VERIFIED primary
GT-103,SBI Large Cap Fund,benchmark,Benchmark,Tier I Benchmark: BSE 100 Index TRI,kim_large_cap,https://www.sbimf.com/docs/default-source/sif-forms/kim---sbi-large-cap-fund-%28formerly-known-as-bluechip-fund%29.pdf,,,2026-08-27,static,VERIFIED primary
GT-104,SBI Large Cap Fund,riskometer,Riskometer,Very High,kim_large_cap,https://www.sbimf.com/docs/default-source/sif-forms/kim---sbi-large-cap-fund-%28formerly-known-as-bluechip-fund%29.pdf,,,2026-08-27,dynamic_monthly,VERIFIED primary (KIM snapshot; monthly source is factsheet)
GT-105,SBI Large Cap Fund,ter_regular,TER Regular plan,1.50%,ter_current_year,https://www.sbimf.com/total-expense-ratio,2026-08-26,,2026-08-27,dynamic_daily,VERIFIED primary
GT-106,SBI Large Cap Fund,ter_direct,TER Direct plan,0.84%,ter_current_year,https://www.sbimf.com/total-expense-ratio,2026-08-26,,2026-08-27,dynamic_daily,VERIFIED primary
GT-107,SBI Large Cap Fund,exit_load,Exit load,Within 30 days of allotment: 0.25%. After 30 days and within 90 days: 0.10%. After 90 days: Nil,kim_large_cap,https://www.sbimf.com/docs/default-source/sif-forms/kim---sbi-large-cap-fund-%28formerly-known-as-bluechip-fund%29.pdf,,,2026-08-27,static,"VERIFIED - complete structure from KIM, supersedes quarantined partial"
GT-108,SBI Large Cap Fund,min_sip,Minimum SIP,,kim_large_cap,https://www.sbimf.com/docs/default-source/sif-forms/kim---sbi-large-cap-fund-%28formerly-known-as-bluechip-fund%29.pdf,,,2026-08-27,static,PENDING - KIM extract gave Purchase/Additional/Redemption but NOT the SIP minimum table
GT-109,SBI Large Cap Fund,min_lumpsum,Minimum lumpsum,Rs. 5000 and in multiples of Re. 1 thereafter,kim_large_cap,https://www.sbimf.com/docs/default-source/sif-forms/kim---sbi-large-cap-fund-%28formerly-known-as-bluechip-fund%29.pdf,,,2026-08-27,static,VERIFIED
GT-110,SBI Large Cap Fund,additional_purchase,Additional purchase,Rs. 1000 and in multiples of Re. 1 thereafter,kim_large_cap,https://www.sbimf.com/docs/default-source/sif-forms/kim---sbi-large-cap-fund-%28formerly-known-as-bluechip-fund%29.pdf,,,2026-08-27,static,VERIFIED
GT-111,SBI Large Cap Fund,investment_objective,Investment objective,,kim_large_cap,https://www.sbimf.com/docs/default-source/sif-forms/kim---sbi-large-cap-fund-%28formerly-known-as-bluechip-fund%29.pdf,,,2026-08-27,static,PENDING
GT-112,SBI Large Cap Fund,redemption_min,Minimum redemption,"Rs. 500 or 1 Unit or account balance, whichever is lower",kim_large_cap,https://www.sbimf.com/docs/default-source/sif-forms/kim---sbi-large-cap-fund-%28formerly-known-as-bluechip-fund%29.pdf,,,2026-08-27,static,VERIFIED
GT-201,SBI Flexicap Fund,scheme_type,Type of scheme,"An open ended dynamic equity scheme investing across large cap, mid cap, small cap stocks",kim_flexicap,https://www.sbimf.com/docs/default-source/default-library/kim---sbi-flexicap-fund0bc48eb83bf949309a7d16b37b3031b0.pdf,,,2026-08-27,static,VERIFIED primary
GT-202,SBI Flexicap Fund,scheme_category,SEBI category,Flexi Cap Fund,sid_flexicap,https://www.sbimf.com/docs/default-source/sif-forms/sid---sbi-flexicap-fund.pdf,,,2026-08-27,static,VERIFIED primary
GT-203,SBI Flexicap Fund,investment_objective,Investment objective,To provide investors with opportunities for long-term growth in capital along with the liquidity of an open ended scheme through an active management of investments in a diversified basket of equity stocks spanning the entire market capitalization spectrum and in debt and money market instruments,kim_flexicap,https://www.sbimf.com/docs/default-source/default-library/kim---sbi-flexicap-fund0bc48eb83bf949309a7d16b37b3031b0.pdf,,,2026-08-27,static,VERIFIED primary
GT-204,SBI Flexicap Fund,min_lumpsum,Minimum investment,Rs. 1000 and in multiples of Re. 1 thereafter,kim_flexicap,https://www.sbimf.com/docs/default-source/default-library/kim---sbi-flexicap-fund0bc48eb83bf949309a7d16b37b3031b0.pdf,,,2026-08-27,static,VERIFIED primary
GT-205,SBI Flexicap Fund,additional_purchase,Additional purchase,Rs. 1000 and in multiples of Re. 1 thereafter,kim_flexicap,https://www.sbimf.com/docs/default-source/default-library/kim---sbi-flexicap-fund0bc48eb83bf949309a7d16b37b3031b0.pdf,,,2026-08-27,static,VERIFIED primary
GT-206,SBI Flexicap Fund,min_sip,Minimum SIP,"Frequency-dependent. Daily: Rs 500 min, multiples of Re 1, min 12 instalments. Weekly: Rs 1000 for min 6, or Rs 500 for min 12. Monthly: Rs 1000 for min 6 months, or Rs 500 for min 12 months. Quarterly: Rs 1500 for min 12 months. Semi-Annual: Rs 3000 for min 4 instalments. Annual: Rs 5000 for min 4 instalments",kim_flexicap,https://www.sbimf.com/docs/default-source/default-library/kim---sbi-flexicap-fund0bc48eb83bf949309a7d16b37b3031b0.pdf,,,2026-08-27,static,"VERIFIED primary - NO SINGLE VALUE, frequency-dependent"
GT-207,SBI Flexicap Fund,repurchase_min,Minimum repurchase,"Rs. 500 or 1 Unit or account balance, whichever is lower",kim_flexicap,https://www.sbimf.com/docs/default-source/default-library/kim---sbi-flexicap-fund0bc48eb83bf949309a7d16b37b3031b0.pdf,,,2026-08-27,static,VERIFIED primary
GT-208,SBI Flexicap Fund,benchmark,Benchmark,BSE 500 TRI (appears in sources as both 'S&P BSE 500 TRI' and 'BSE 500 TRI'),kim_flexicap,https://www.sbimf.com/docs/default-source/default-library/kim---sbi-flexicap-fund0bc48eb83bf949309a7d16b37b3031b0.pdf,,,2026-08-27,static,VERIFIED primary
GT-209,SBI Flexicap Fund,riskometer,Riskometer,Very High,kim_flexicap,https://www.sbimf.com/docs/default-source/default-library/kim---sbi-flexicap-fund0bc48eb83bf949309a7d16b37b3031b0.pdf,,,2026-08-27,dynamic_monthly,VERIFIED primary (KIM snapshot; monthly source is factsheet)
GT-210,SBI Flexicap Fund,ter_regular,TER Regular plan,2.06%,ter_current_year,https://www.sbimf.com/total-expense-ratio,2026-08-26,,2026-08-27,dynamic_daily,VERIFIED primary
GT-211,SBI Flexicap Fund,ter_direct,TER Direct plan,1.25%,ter_current_year,https://www.sbimf.com/total-expense-ratio,2026-08-26,,2026-08-27,dynamic_daily,VERIFIED primary
GT-212,SBI Flexicap Fund,exit_load,Exit load,On or before 30 days from allotment: 0.10%. After 30 days: Nil. No exit load on switching between Plans within the scheme,sid_flexicap,https://www.sbimf.com/docs/default-source/sif-forms/sid---sbi-flexicap-fund.pdf,,,2026-08-27,static,VERIFIED - scheme-specific SID preferred over generic common application form (which stated 0.50%)
GT-301,SBI ELSS Tax Saver Fund,lock_in,Lock-in period,3 years statutory from date of allotment,sid_elss,https://www.sbimf.com/docs/default-source/sif-forms/sid---sbi-elss-tax-saver-fund.pdf,,2025-04-30,2026-08-27,static,VERIFIED primary
GT-302,SBI ELSS Tax Saver Fund,scheme_type,Type of scheme,An open-ended Equity Linked Savings Scheme (ELSS) with tax benefit under Section 80C up to Rs. 1.5 lakh,campaign_elss,https://www.sbimf.com/campaign/sbi-elss-tax-saver-fund,,,2026-08-27,static,VERIFIED primary
GT-303,SBI ELSS Tax Saver Fund,scheme_category,SEBI category,ELSS,sid_elss,https://www.sbimf.com/docs/default-source/sif-forms/sid---sbi-elss-tax-saver-fund.pdf,,2025-04-30,2026-08-27,static,VERIFIED primary
GT-304,SBI ELSS Tax Saver Fund,min_lumpsum,Minimum investment,Rs. 500 and in multiples of Rs. 500,campaign_elss,https://www.sbimf.com/campaign/sbi-elss-tax-saver-fund,,,2026-08-27,static,VERIFIED primary
GT-305,SBI ELSS Tax Saver Fund,min_sip,Minimum SIP,Rs. 500 and in multiples of Rs. 500,campaign_elss,https://www.sbimf.com/campaign/sbi-elss-tax-saver-fund,,,2026-08-27,static,"VERIFIED primary - confirm against KIM, Flexicap SIP proved frequency-dependent"
GT-306,SBI ELSS Tax Saver Fund,exit_load,Exit load,Nil,kim_elss,https://www.sbimf.com/docs/default-source/sif-forms/kim---sbi-elss-tax-saver-fund-%28formerly-known-as-sbi-long-term-equity-fund%29.pdf,,,2026-08-27,static,VERIFIED primary
GT-307,SBI ELSS Tax Saver Fund,benchmark,Benchmark,BSE 500 TRI,kim_elss,https://www.sbimf.com/docs/default-source/sif-forms/kim---sbi-elss-tax-saver-fund-%28formerly-known-as-sbi-long-term-equity-fund%29.pdf,,,2026-08-27,static,VERIFIED primary
GT-308,SBI ELSS Tax Saver Fund,inception_date,Date of inception,31/03/1993,kim_elss,https://www.sbimf.com/docs/default-source/sif-forms/kim---sbi-elss-tax-saver-fund-%28formerly-known-as-sbi-long-term-equity-fund%29.pdf,,,2026-08-27,static,VERIFIED primary
GT-309,SBI ELSS Tax Saver Fund,ter_regular,TER Regular plan,1.86%,ter_current_year,https://www.sbimf.com/total-expense-ratio,2026-08-26,,2026-08-27,dynamic_daily,VERIFIED primary
GT-310,SBI ELSS Tax Saver Fund,ter_direct,TER Direct plan,1.26%,ter_current_year,https://www.sbimf.com/total-expense-ratio,2026-08-26,,2026-08-27,dynamic_daily,VERIFIED primary
GT-311,SBI ELSS Tax Saver Fund,riskometer,Riskometer,Very High,kim_elss,https://www.sbimf.com/docs/default-source/sif-forms/kim---sbi-elss-tax-saver-fund-%28formerly-known-as-sbi-long-term-equity-fund%29.pdf,,,2026-08-27,dynamic_monthly,CONDITIONAL - KIM states Very High; current monthly factsheet remains the preferred freshness source
GT-312,SBI ELSS Tax Saver Fund,investment_objective,Investment objective,"To deliver the benefit of investment in a portfolio of equity shares, while offering deduction on such investment made in the scheme under section 80C of the Income-tax Act, 1961. It also seeks to distribute income periodically depending on distributable surplus. Investments are subject to a statutory lock-in of 3 years from date of allotment to avail Section 80C benefits",factsheet_mar2026,https://www.sbimf.com/docs/default-source/scheme-factsheets/all-sbimf-schemes-factsheet-march-2026.pdf,,2026-03-31,2026-08-27,static,VERIFIED - official SBI factsheet; exact KIM section still to be extracted
GT-313,SBI ELSS Tax Saver Fund,min_application_amount,Minimum application amount,,kim_elss,https://www.sbimf.com/docs/default-source/sif-forms/kim---sbi-elss-tax-saver-fund-%28formerly-known-as-sbi-long-term-equity-fund%29.pdf,,,2026-08-27,static,"PENDING - distinct field from min_lumpsum/min_sip; SID table extraction was malformed, not promoted"
GT-314,SBI ELSS Tax Saver Fund,benchmark_tier1,Tier I benchmark,BSE 500 TRI Index,kim_elss,https://www.sbimf.com/docs/default-source/sif-forms/kim---sbi-elss-tax-saver-fund-%28formerly-known-as-sbi-long-term-equity-fund%29.pdf,,,2026-08-27,static,VERIFIED
GT-401,NA,ter_disclosure_cadence,TER disclosure frequency,"Daily, on the AMC website and the AMFI website",amfi_ter,https://www.amfiindia.com/investor/knowledge-center-info?zoneName=expenseRatio,,,2026-08-27,static,VERIFIED primary
GT-402,NA,ter_regulatory_basis,TER regulatory limits basis,Regulation 52 of SEBI Mutual Fund Regulations,amfi_ter,https://www.amfiindia.com/investor/knowledge-center-info?zoneName=expenseRatio,,,2026-08-27,static,VERIFIED primary
GT-403,NA,riskometer_cadence,Riskometer evaluation frequency,"Evaluated monthly, disclosed on AMC and AMFI websites within 10 days of month end",amfi_riskometer,https://www.mutualfundssahihai.com/en/how-riskometer-scheme-derived,,,2026-08-27,static,VERIFIED primary
GT-404,NA,riskometer_equity_factors,Riskometer equity risk factors,"Market capitalisation, volatility, impact cost (liquidity)",amfi_riskometer,https://www.mutualfundssahihai.com/en/how-riskometer-scheme-derived,,,2026-08-27,static,VERIFIED primary
GT-405,NA,elss_lock_in_general,ELSS lock-in (category level),3 years from date of investment; units cannot be sold or redeemed before completion. The lock-in applies to each SIP instalment separately,amfi_lockin,https://www.mutualfundssahihai.com/en/what-is-lock-in-period,,,2026-08-27,static,VERIFIED primary
GT-406,NA,capital_gains_statement,Capital gains statement download (Groww),Profile > Reports > under 'Tax' select 'Mutual Fund - Capital Gains' > choose financial year > Download,groww_help_80c,https://groww.in/help/my-account/ma-others/where-can-i-get-the-tax-proof-for-section-80c,,,2026-08-27,static,CONFLICT quarantined - article titled 80C proof but step names Capital Gains report; two reports conflated in source
GT-407,NA,elss_statement,ELSS statement download (Groww),Profile > Reports > under 'Tax' select 'Mutual Fund - ELSS statement' > Download. Report opens with the user's PAN in capitals,groww_help_elss,https://groww.in/help/mutual-funds/order/how-to-download-tax-statement--for-elss--77,,,2026-08-27,static,VERIFIED primary
GT-408,NA,transaction_history,Transaction history download (Groww),Profile > Reports > under 'Transactions' choose report > select time frame > Download,groww_help_txn,https://groww.in/help/my-account/ma-others/where-can-i-get-the-transaction-history,,,2026-08-27,static,VERIFIED primary
