document_id,title,url,source_organization,tier,scheme,document_type,publication_date,last_updated_date,date_collected,topic,fact_type,priority,access_status
SRC-001,Total Expense Ratio of Mutual Fund Schemes,https://www.sbimf.com/total-expense-ratio,SBI Mutual Fund,1,ALL,TER disclosure page,,,2026-08-26,expense ratio,dynamic_daily,1,verified public (alt path /total-expense-ratio-of-mutual-fund-schemes)
SRC-002,Offer Documents SID and KIM,https://www.sbimf.com/offer-document-sid-kim,SBI Mutual Fund,1,ALL,SID/KIM index,,,2026-08-26,scheme documents,static,1,verified public
SRC-003,SBI Large Cap Fund (Formerly SBI Bluechip Fund) scheme page,https://www.sbimf.com/sbimf-scheme-details/sbi-large-cap-fund-(formerly-known-as-sbi-bluechip-fund)-43,SBI Mutual Fund,1,SBI Large Cap Fund,Scheme page,,,2026-08-26,scheme basics;minimums;benchmark,static,2,verified public
SRC-004,Expense Ratio knowledge centre,https://www.amfiindia.com/investor/knowledge-center-info?zoneName=expenseRatio,AMFI,2,NA,Investor education,,,2026-08-26,TER definition;TER limits;daily disclosure,static,4,verified public
SRC-005,Know how Riskometer for a Scheme is Derived,https://www.mutualfundssahihai.com/en/how-riskometer-scheme-derived,AMFI,2,NA,Investor education,,,2026-08-26,riskometer methodology;monthly cadence,static,4,verified public
SRC-006,Total Expense Ratio (TER) and Performance Disclosure for Mutual Funds,https://www.sebi.gov.in/legal/circulars/oct-2018/total-expense-ratio-ter-and-performance-disclosure-for-mutual-funds_40766.html,SEBI,2,NA,Circular,2018-10,,2026-08-26,TER regulation,static,5,verified public
SRC-007,Groww Help and Support,https://groww.in/help,Groww,3,NA,Help centre index,,,2026-08-26,platform processes,static,6,verified public
SRC-008,How can I access my stocks P&L report,https://groww.in/help/stocks%2C-f%26o%2C-ipo-%26-mtf/discoverable/how-can-i-access-my-stocks-p%26l-report,Groww,3,NA,Help article,,,2026-08-26,reports access,static,6,verified public
SRC-009,How to contact Groww customer care,https://groww.in/help/my-account/searchable/how-to-contact-groww-customer-care--74,Groww,3,NA,Help article,,,2026-08-26,support escalation,static,6,verified public
SRC-010,SBI Flexicap Fund scheme page,PENDING,SBI Mutual Fund,1,SBI Flexicap Fund,Scheme page,,,,scheme basics;minimums;benchmark,static,2,pending collection
SRC-011,KIM - SBI Flexicap Fund,https://www.sbimf.com/docs/default-source/default-library/kim---sbi-flexicap-fund0bc48eb83bf949309a7d16b37b3031b0.pdf,SBI Mutual Fund,1,SBI Flexicap Fund,KIM,,,2026-08-26,minimums;exit load;benchmark;riskometer,static,1,url verified pending download
SRC-012,SBI Large Cap Fund KIM,PENDING,SBI Mutual Fund,1,SBI Large Cap Fund,KIM,,,,minimums;exit load;benchmark;riskometer,static,1,pending collection
SRC-013,SBI ELSS Tax Saver Fund (formerly SBI Long Term Equity Fund) scheme page,https://www.sbimf.com/sbimf-scheme-details/sbi-elss-tax-saver-fund-(formerly-known-as-sbi-long-term-equity-fund)-3,SBI Mutual Fund,1,SBI ELSS Tax Saver Fund,Scheme page,,,2026-08-26,scheme basics;lock-in;minimums,static,2,verified public
SRC-014,SID - SBI ELSS Tax Saver Fund (formerly SBI Long Term Equity Fund),https://www.sbimf.com/docs/default-source/lists/sid---sbi-elss-tax-saver-fund-(formerly-known-as-sbi-long-term-equity-fund).pdf,SBI Mutual Fund,1,SBI ELSS Tax Saver Fund,SID,2025-04-30,,2026-08-26,lock-in;minimums;exit load;benchmark;plans,static,1,url verified pending download
SRC-015,SBI Mutual Fund monthly factsheet,PENDING,SBI Mutual Fund,1,ALL,Factsheet,,,,riskometer;benchmark;scheme basics,dynamic_monthly,3,pending collection
SRC-016,Groww help article on mutual fund capital gains statement,PENDING,Groww,3,NA,Help article,,,,capital gains statement,static,6,pending collection
SRC-017,AMFI ELSS / lock-in investor education,PENDING,AMFI,2,NA,Investor education,,,,ELSS lock-in,static,4,pending collection
SRC-018,SBI ELSS Tax Saver Fund campaign page,https://www.sbimf.com/campaign/sbi-elss-tax-saver-fund,SBI Mutual Fund,1,SBI ELSS Tax Saver Fund,Product page,,,2026-08-26,ELSS lock-in;scheme basics,static,3,verified public
SRC-019,ELSS Funds explainer,https://www.sbimf.com/campaign/elss,SBI Mutual Fund,1,NA,Investor education,,,2026-08-26,ELSS lock-in;80C context,static,3,verified public
SRC-020,SBI ELSS Tax Saver Fund factsheet,https://www.sbimf.com/docs/default-source/scheme-factsheets/sbi-long-term-equity-fund-factsheet-79360d7a-e30e-4dba-a6f3-e555a189e368.pdf,SBI Mutual Fund,1,SBI ELSS Tax Saver Fund,Factsheet,,,2026-08-26,riskometer;benchmark;objective,dynamic_monthly,3,url verified pending download
SRC-021,SBI Large Cap Fund KIM,PENDING,SBI Mutual Fund,1,SBI Large Cap Fund,KIM,,,,minimums;exit load;benchmark;riskometer,static,1,pending collection
SRC-022,SBI Flexicap Fund scheme page,PENDING,SBI Mutual Fund,1,SBI Flexicap Fund,Scheme page,,,,scheme basics;minimums;benchmark,static,2,pending collection
SRC-023,SBI Mutual Fund FAQs,https://www.sbimf.com/faq,SBI Mutual Fund,1,NA,AMC FAQ,,,2026-08-26,general scheme FAQs,static,3,url found pending review
SRC-024,Notices and Addendums,https://www.sbimf.com/notice-and-addendums,SBI Mutual Fund,1,ALL,Addendum index,,,2026-08-26,supersessions;load changes,static,1,url found pending review
SRC-025,Factsheets index,https://www.sbimf.com/factsheets,SBI Mutual Fund,1,ALL,Factsheet index,,,2026-08-26,riskometer;benchmark,dynamic_monthly,3,url found pending review
SRC-026,Statement of Additional Information,https://www.sbimf.com/docs/default-source/documents/statement-of-additional-information.pdf,SBI Mutual Fund,1,ALL,SAI,,,2026-08-26,statutory info,static,4,ROBOTS BLOCKED manual download required
